Key	Press_Time	Relase_Time	Daylight	
space	2021-09-10 12:24:54.097124	2021-09-10 12:24:54.226779	Afternoon
$	2021-09-10 12:24:54.263679	2021-09-10 12:24:54.369397	Afternoon
$	2021-09-10 12:24:54.465142	2021-09-10 12:24:54.654636	Afternoon
space	2021-09-10 12:24:54.606764	2021-09-10 12:24:54.748385	Afternoon
$	2021-09-10 12:24:55.827500	2021-09-10 12:24:55.975107	Afternoon
$	2021-09-10 12:24:56.134679	2021-09-10 12:24:56.282283	Afternoon
$	2021-09-10 12:24:56.329158	2021-09-10 12:24:56.461806	Afternoon
$	2021-09-10 12:24:56.533611	2021-09-10 12:24:56.636339	Afternoon
$	2021-09-10 12:24:56.684210	2021-09-10 12:24:56.776962	Afternoon
space	2021-09-10 12:24:56.886668	2021-09-10 12:24:57.010338	Afternoon
caps_lock	2021-09-10 12:24:57.243714	2021-09-10 12:24:57.405283	Afternoon
$	2021-09-10 12:24:57.566851	2021-09-10 12:24:57.647635	Afternoon
caps_lock	2021-09-10 12:24:57.758338	2021-09-10 12:24:57.901954	Afternoon
backspace	2021-09-10 12:24:58.061528	2021-09-10 12:24:58.187192	Afternoon
$	2021-09-10 12:24:58.194173	2021-09-10 12:24:58.358732	Afternoon
$	2021-09-10 12:24:58.364717	2021-09-10 12:24:58.526285	Afternoon
$	2021-09-10 12:24:58.575157	2021-09-10 12:24:58.715780	Afternoon
$	2021-09-10 12:24:58.872360	2021-09-10 12:24:59.012984	Afternoon
space	2021-09-10 12:24:59.018969	2021-09-10 12:24:59.186549	Afternoon
$	2021-09-10 12:24:59.677209	2021-09-10 12:24:59.842766	Afternoon
$	2021-09-10 12:25:00.337444	2021-09-10 12:25:00.411247	Afternoon
backspace	2021-09-10 12:25:00.946815	2021-09-10 12:25:01.098408	Afternoon
backspace	2021-09-10 12:25:01.167226	2021-09-10 12:25:01.292889	Afternoon
backspace	2021-09-10 12:25:01.396612	2021-09-10 12:25:01.536238	Afternoon
space	2021-09-10 12:25:01.919216	2021-09-10 12:25:02.098736	Afternoon
caps_lock	2021-09-10 12:25:02.025929	2021-09-10 12:25:02.209438	Afternoon
$	2021-09-10 12:25:02.210437	2021-09-10 12:25:02.352058	Afternoon
caps_lock	2021-09-10 12:25:02.311167	2021-09-10 12:25:02.466751	Afternoon
$	2021-09-10 12:25:02.362031	2021-09-10 12:25:02.509637	Afternoon
$	2021-09-10 12:25:02.757974	2021-09-10 12:25:02.856708	Afternoon
$	2021-09-10 12:25:03.018276	2021-09-10 12:25:03.145936	Afternoon
$	2021-09-10 12:25:03.202784	2021-09-10 12:25:03.325455	Afternoon
space	2021-09-10 12:25:03.328449	2021-09-10 12:25:03.488020	Afternoon
caps_lock	2021-09-10 12:25:03.489021	2021-09-10 12:25:03.661556	Afternoon
$	2021-09-10 12:25:04.022595	2021-09-10 12:25:04.132300	Afternoon
caps_lock	2021-09-10 12:25:04.226048	2021-09-10 12:25:04.371659	Afternoon
$	2021-09-10 12:25:04.308828	2021-09-10 12:25:04.453440	Afternoon
$	2021-09-10 12:25:04.571126	2021-09-10 12:25:04.692800	Afternoon
$	2021-09-10 12:25:04.725712	2021-09-10 12:25:04.863344	Afternoon
$	2021-09-10 12:25:04.943131	2021-09-10 12:25:05.104701	Afternoon
$	2021-09-10 12:25:26.392790	2021-09-10 12:25:26.534411	Afternoon
$	2021-09-10 12:25:26.700965	2021-09-10 12:25:26.839598	Afternoon
$	2021-09-10 12:25:27.874828	2021-09-10 12:25:28.074294	Afternoon
ctrl_l	2021-09-10 12:25:27.683340	2021-09-10 12:25:28.427352	Afternoon
$	2021-09-10 12:27:18.733472	2021-09-10 12:27:18.935928	Afternoon
$	2021-09-10 12:27:19.066581	2021-09-10 12:27:19.271034	Afternoon
ctrl_l	2021-09-10 12:27:18.523033	2021-09-10 12:27:19.426618	Afternoon
arrow_key	2021-09-10 12:29:12.100408	2021-09-10 12:29:12.224077	Afternoon
arrow_key	2021-09-10 12:29:12.426537	2021-09-10 12:29:12.564169	Afternoon
arrow_key	2021-09-10 12:29:13.172543	2021-09-10 12:29:13.324137	Afternoon
arrow_key	2021-09-10 12:29:13.670213	2021-09-10 12:29:13.790887	Afternoon
arrow_key	2021-09-10 12:29:14.683503	2021-09-10 12:29:14.843075	Afternoon
enter	2021-09-10 12:29:15.700783	2021-09-10 12:29:15.862352	Afternoon
caps_lock	2021-09-10 12:30:52.471612	2021-09-10 12:30:52.600268	Afternoon
$	2021-09-10 12:30:52.981253	2021-09-10 12:30:53.134838	Afternoon
caps_lock	2021-09-10 12:30:53.133840	2021-09-10 12:30:53.213627	Afternoon
$	2021-09-10 12:30:53.326327	2021-09-10 12:30:53.479916	Afternoon
space	2021-09-10 12:30:53.483905	2021-09-10 12:30:53.648464	Afternoon
$	2021-09-10 12:30:53.959633	2021-09-10 12:30:54.100257	Afternoon
$	2021-09-10 12:30:54.102261	2021-09-10 12:30:54.240881	Afternoon
$	2021-09-10 12:30:54.238887	2021-09-10 12:30:54.354578	Afternoon
$	2021-09-10 12:30:54.497196	2021-09-10 12:30:54.658766	Afternoon
$	2021-09-10 12:30:54.728579	2021-09-10 12:30:54.730575	Afternoon
$	2021-09-10 12:30:54.955971	2021-09-10 12:30:55.077643	Afternoon
$	2021-09-10 12:30:55.183363	2021-09-10 12:30:55.268135	Afternoon
$	2021-09-10 12:30:55.488545	2021-09-10 12:30:55.605233	Afternoon
enter	2021-09-10 12:30:55.860551	2021-09-10 12:30:55.948317	Afternoon
$	2021-09-10 12:30:56.101906	2021-09-10 12:30:56.213608	Afternoon
$	2021-09-10 12:30:56.320323	2021-09-10 12:30:56.441000	Afternoon
$	2021-09-10 12:30:56.442998	2021-09-10 12:30:56.637474	Afternoon
$	2021-09-10 12:30:56.830958	2021-09-10 12:30:56.981554	Afternoon
$	2021-09-10 12:30:57.042393	2021-09-10 12:30:57.189000	Afternoon
space	2021-09-10 12:30:57.244851	2021-09-10 12:30:57.394451	Afternoon
$	2021-09-10 12:30:57.545049	2021-09-10 12:30:57.673704	Afternoon
$	2021-09-10 12:30:57.674700	2021-09-10 12:30:57.837267	Afternoon
$	2021-09-10 12:30:57.795380	2021-09-10 12:30:57.903091	Afternoon
$	2021-09-10 12:30:57.992851	2021-09-10 12:30:58.105550	Afternoon
$	2021-09-10 12:30:58.113529	2021-09-10 12:30:58.208274	Afternoon
space	2021-09-10 12:30:58.167386	2021-09-10 12:30:58.308010	Afternoon
$	2021-09-10 12:30:58.308010	2021-09-10 12:30:58.454616	Afternoon
$	2021-09-10 12:30:58.505481	2021-09-10 12:30:58.646104	Afternoon
$	2021-09-10 12:30:58.743844	2021-09-10 12:30:58.746836	Afternoon
$	2021-09-10 12:30:58.863524	2021-09-10 12:30:58.864523	Afternoon
$	2021-09-10 12:30:58.862526	2021-09-10 12:30:59.039056	Afternoon
$	2021-09-10 12:30:59.038057	2021-09-10 12:30:59.167713	Afternoon
space	2021-09-10 12:30:59.263456	2021-09-10 12:30:59.311327	Afternoon
backspace	2021-09-10 12:30:59.650420	2021-09-10 12:30:59.737188	Afternoon
backspace	2021-09-10 12:30:59.796031	2021-09-10 12:31:00.896090	Afternoon
$	2021-09-10 12:31:01.065636	2021-09-10 12:31:01.210252	Afternoon
$	2021-09-10 12:31:01.209255	2021-09-10 12:31:01.321951	Afternoon
$	2021-09-10 12:31:01.394757	2021-09-10 12:31:01.525406	Afternoon
$	2021-09-10 12:31:01.566298	2021-09-10 12:31:01.720885	Afternoon
$	2021-09-10 12:31:01.721883	2021-09-10 12:31:01.866496	Afternoon
space	2021-09-10 12:31:01.866496	2021-09-10 12:31:02.008117	Afternoon
$	2021-09-10 12:31:02.018090	2021-09-10 12:31:02.141761	Afternoon
$	2021-09-10 12:31:02.142757	2021-09-10 12:31:02.282384	Afternoon
